Address,lon,lat,address,
"CVS 1003 CALIFORNIA AVE, NATRONA HEIGHTS, PA, 15065",-79.7330764,40.6183171,"1003 california ave, natrona heights, pa 15065, usa",
"CVS 95 FREEPORT STREET, NEW KENSINGTON, PA, 15068",-79.7580075,40.5531499,"95 freeport st, new kensington, pa 15068, usa",
"CVS 1775 GOLDEN MILE HWY, MONROEVILLE, PA, 15146",-79.7140983,40.4445587,"1775 golden mile hwy, monroeville, pa 15146, usa",
"CVS 10600 FRANKSTOWN RD, PITTSBURGH, PA, 15235",-79.8421182,40.4598575,"10600 frankstown rd, pittsburgh, pa 15235, usa",
"CVS 3893 WILLIAM PENN, MONROEVILLE, PA, 15146",-79.7791912,40.4378126,"3893 william penn hwy, monroeville, pa 15146, usa",
"CVS 1740 WASHINGTON ROAD, PITTSBURGH, PA, 15241",-80.0550278,40.3475469,"1740 washington rd, pittsburgh, pa 15241, usa",
"CVS 3870 WASHINGTON RD, MCMURRAY, PA, 15317",-80.1282904,40.2729933,"3870 washington rd, mcmurray, pa 15317, usa",
"CVS 3075 WEST LIBERTY AVENUE, DORMONT, PA, 15216",-80.0383682,40.3916311,"3075 w liberty ave, pittsburgh, pa 15216, usa",
"CVS 355 LINCOLN AVE, BELLEVUE, PA, 15202",-80.052379,40.4934355,"355 lincoln ave, bellevue, pa 15202, usa",
"CVS 328 COCHRAN ROAD, MT LEBANON, PA, 15228",-80.0519923,40.3824724,"328 cochran rd, mt lebanon, pa 15228, usa",
"CVS 401 CHESTNUT, CARNEGIE, PA, 15106",-80.0820431,40.4102737,"401 chestnut st, carnegie, pa 15106, usa",
"CVS 2719 BRODHEAD ROAD, ALIQUIPPA, PA, 15001",-80.2835513,40.6081882,"2719 brodhead rd, aliquippa, pa 15001, usa",
"CVS 20TH&OREGON ST., PHILADELPHIA, PA, 19146",-75.18043099,39.91843231,"1901 Oregon Avenue, Philadelphia, PA, 19145, usa",", "
"CVS 702 NAAMANS RD, CLAYMONT, DE, 19703",-75.4603717,39.8170079,"702 naamans rd, claymont, de 19703, usa",
"CVS 870 EAST BALTIMORE PIKE, KENNET SQUARE, PA, 19348",-75.6801721,39.8620376,"870 e baltimore pike, kennett square, pa 19348, usa",
"CVS 1005 DELAWARE AVENUE, WILMINGTON, DE, 19806",-75.5555541,39.752497,"1005 delaware ave, wilmington, de 19806, usa",
"CVS 4020 CONCORD PIKE, WILMINGTON, DE, 19803",-75.5511876,39.8097265,"4020 concord pike, wilmington, de 19803, usa",
"CVS 730 NEWARK RD, LANDENBERG, PA, 19350",-75.7505182,39.8078891,"730 newark rd, landenberg, pa 19350, usa",
"CVS 4133 G AND HUNTING PARK, PHILADELPHIA, PA, 19124",-75.1117602,40.0115681,"4133 g st, philadelphia, pa 19124, usa",
"CVS 8525 FRANKFORD AVENUE, PHILADELPHIA, PA, 19136",-75.0155691,40.0458036,"8525 frankford ave, philadelphia, pa 19136, usa",
"CVS 259 MARKET ST, PHILADELPHIA, PA, 19106",-75.1455317,39.950299,"259 market st, philadelphia, pa 19106, usa",
"CVS 1046 MARKET ST, PHILADELPHIA, PA, 19107",-75.1581395,39.9514753,"1046 market st, philadelphia, pa 19107, usa",
"CVS 6501 HARBISON AVE, PHILADELPHIA, PA, 19149",-75.0633986,40.0345349,"6501 harbison ave, philadelphia, pa 19149, usa",
"CVS 7406 CHURCH STREET, SWISSVALE, PA, 15218",-79.8892255,40.4216558,"7406 church st, swissvale, pa 15218, usa",
"CVS 237 MONROEVILLE AVE, TURTLE CREEK, PA, 15145",-79.8232756,40.4061901,"237 monroeville ave, turtle creek, pa 15145, usa",
"CVS 4849 WILLIAM FLYNN HIGHWAY, ALLISON PARK, PA, 15101",-79.9480807,40.5993494,"4849 william flinn hwy, allison park, pa 15101, usa",
"CVS 1630 S. ATHERTON ST, STATE COLLEGE, PA, 16801",-77.8358794,40.784647,"1630 s atherton st, state college, pa 16801, usa",
