...1,county,trade_name,account,license_type,expiration_date,lat,lon,address_full,publish_date,state,expired_y_n
1,BEAVER,NA,2.00E+299,Cigarette Stamping Agent,2/28/25,40.67809,-80.15242,"2509 LOVI RD FREEDOM, PA 15042-9395",12/1/22,PA,ACTIVE
2,BEAVER,NA,04**6593,Cig/OTP Retail,2/28/23,40.679043,-80.272331,"2000 MARSHAL RD MONACA, PA 15061",8/1/22,PA,EXPIRED
3,BERKS,NA,06**6464,Cig/OTP Retail,2/28/23,40.326548,-75.900715,"560 S 19TH ST READING, PA 19606",7/1/22,PA,EXPIRED
4,PHILADELPHIA,NA,9.00E+10,CSA/OTP Wholesaler,2/29/24,40.05475665,-75.09065761,"6810 RISING SUN AVE PHILA, PA 19111-3902",12/1/23,PA,EXPIRED
5,PHILADELPHIA,NA,9.00E+11,CSA/OTP Wholesaler,2/29/24,40.05475665,-75.09065761,"6810 RISING SUN AVE PHILA, PA 19111-3902",12/1/23,PA,EXPIRED
6,CHESTER,NA,15**9949,Cig/OTP Retail,2/28/22,39.986204,-75.805867,"999 E LINCOLN HWY COATESVILLE, PA 19320",7/1/21,PA,EXPIRED
7,DAUPHIN,NA,2.20E+37,OTP Wholesaler,2/28/25,40.330921,-76.87123299,"112 LAUREL GLEN CT HARRISBURG, PA 17110-3900",4/1/24,PA,ACTIVE
8,ELK,NA,24**2651,Cig/OTP Retail,2/28/23,41.424376,-78.731022,"131 N BROAD STREET RIDGEWAY, PA 15853",7/1/21,PA,EXPIRED
9,LANCASTER,NA,36**4350,Retail,2/28/23,40.049191,-76.294956,"629 N FRANKLIN ST LANCASTER, PA 17602",9/1/21,PA,EXPIRED
10,LEHIGH,NA,39**2731,Cig/OTP Retail,2/28/22,40.638709,-75.348603,"1829 STEFKO BLVD BETHLEHEM, PA 18017",7/1/21,PA,EXPIRED
11,LUZERNE,NA,4.00E+295,Cigarette Stamping Agent,2/28/25,41.22406,-75.8797,"918 WILKES BARRE TOWNSHIP BLVD WILKES BARRE, PA 18702-6162",12/1/22,PA,ACTIVE
12,LUZERNE,NA,40**3170,Cig/OTP Retail,2/28/23,40.979151,-76.013469,"519 SUSQUEHANNA BLVD HAZLE TOWNSHIP, PA 18202",7/1/21,PA,EXPIRED
13,PHILADELPHIA,NA,5.10E+10,CSA-Research,2/28/25,39.98038599,-75.157013,"1805 N BROAD ST FL 11 PHILADELPHIA, PA 19122-6104",7/1/23,PA,ACTIVE
14,PHILADELPHIA,NA,51**4437,Cig/OTP Retail,2/28/23,40.057576,-75.060145,"7704 CASTOR AVE PHILADELPHIA, PA 19152",10/1/21,PA,EXPIRED
15,PHILADELPHIA,NA,51**8191,OTP Wholesaler,2/28/23,39.99235,-75.11156,"3141 FRANKFORD AVE PHILADELPHIA, PA 19134-3826",12/1/22,PA,EXPIRED
16,PHILADELPHIA,NA,51**8446,Cigarette Wholesaler,2/29/24,40.01664,-75.12884,"4313 RISING SUN AVE PHILADELPHIA, PA 19140-2719",12/1/22,PA,EXPIRED
17,PHILADELPHIA,NA,51**8476,Cig/OTP Retail,2/28/23,40.014933,-75.064535,"5517 TORRESDALE AVE PHILADELPHIA, PA 19124",2/1/22,PA,EXPIRED
18,WASHINGTON,NA,63**2494,Cig/OTP Retail,2/28/22,40.139268,-79.899621,"606 FALLOWFIELD AVE CHARLEROI, PA 15022",7/1/21,PA,EXPIRED
19,YORK,NA,67**2671,Cig/OTP Retail,2/28/23,40.22384,-76.860387,"99 OLD YORK RD NEW CUMBERLAND, PA 17070",7/1/21,PA,EXPIRED
52,ALLEGHENY,#0932 CHRISTOPHER DOERSCHNER,02**7925,OTP Itinerant,2/28/25,40.471837,-79.715921,737 BAR HARBOR DRIVE PITTSBURGH PA 15239,5/26/21,PA,ACTIVE
90,LEHIGH,#1943 JARED CARRELLI,40**7926,OTP Itinerant,2/28/25,39.948373,-75.156481,"{""address"": ""950 WALNUT ST, APT 506"", ""city"": ""PHILADELPHIA"", ""state"": ""PA"", ""zip"": ""19107""}",5/26/21,PA,ACTIVE
91,LUZERNE,#1943 JARED CORRELLI,40**7926,OTP Retail Itinerant,2/28/19,40.99076,-76.06304,7 LIBERTY PLACE CONYNGHAM PA 18219,9/4/18,PA,EXPIRED
92,PHILADELPHIA,#2 LEVEL UP CONVENIENCE STORE,51**3043,Cig/OTP Retail,2/28/22,39.981381,-75.178747,"{""address"": ""2639 CECIL B MOORE AVE"", ""city"": ""PHILADELPHIA"", ""state"": ""PA"", ""zip"": ""19121""}",5/26/21,PA,EXPIRED
193,ALLEGHENY,1,02**2445,Cigarette/OTP Retail,2/28/25,40.335917,-79.974366,"{""address"": ""308 CURRY HOLLOW ROAD"", ""city"": ""PLEASANT HILLS"", ""state"": ""PA"", ""zip"": ""15236""}",5/26/21,PA,ACTIVE
194,DELAWARE,007 CAR WASH LLC,23**0685,Cigarette Retail,2/28/25,39.953042,-75.257605,450 S 69TH ST UPPER DARBY PA 19082-4901,5/26/21,PA,ACTIVE
