,...1,county,trade_name,account,license_type,expiration_date,lat,lon,address_full,publish_date,state,expired_y_n,edit,
1,4379,WASHINGTON,AMERICAN LEGION,63**7797,Cigarette Vending,2/28/25,40.24857733,-80.21182624,"48 WESTERN AVE HOUSTON, PA 15342-1547",12/1/22,PA,ACTIVE,"lat, lon",
2,4380,WASHINGTON,AMERICAN LEGION,63**7797,Cigarette Vending,2/28/25,40.1162335,-80.0084077,"500 MAIN STREET BENTLEYVILLE, PA 15314",12/1/22,PA,ACTIVE,"lat, lon, address_full",
3,4753,ALLEGHENY,APPIAN WAY,63**7797,Cigarette Vending,2/28/25,40.50949,-80.23946743,"418 MOON CLINTON RD MOON TOWNSHIP, PA 15108-3824",12/1/22,PA,ACTIVE,"lat, lon",
4,5837,DAUPHIN,BELFIORE MUSIC & CIGARETTE CO,63**7797,Cigarette Vending,2/28/25,NA,NA,"BOX HARRISBURG, PA 17128-0001",12/1/22,PA,ACTIVE,"lat, lon",
5,8012,ALLEGHENY,CENTER CLUB,65**7908,Cigarette Vending,2/28/25,40.4760522,-79.75443849,"528 THOMAS ST PITTSBURGH, PA 15239-1928",12/1/22,PA,ACTIVE,"lat, lon",
6,8463,INDIANA,CHOICE TOB OUTLET #3111,70**8010,Cig/OTP Retail,2/28/21,40.62239039,-79.14593005,400 PHILADELPHIA ST INDIANA PA 15701-3910,5/18/20,PA,EXPIRED,"lat, lon",
7,8708,BEAVER,CIRCKLE K #4205,70**8006,Cig/OTP Retail,2/28/21,40.59893016,-80.22666372,1599 DUSS AVE AMBRIDGE PA 15003-1929,5/18/20,PA,EXPIRED,"lat, lon",
8,8728,BEAVER,CIRCLE K #4209,70**8010,Cig/OTP Retail,2/28/21,40.60696242,-80.27874026,2105 SHEFFIELD RD ALIQUIPPA PA 15001-2731,5/18/20,PA,EXPIRED,"lat, lon",
9,9250,ALLEGHENY,COGOS 321,70**8001,Cig/OTP Retail,2/28/21,40.32756073,-80.03173323,2733 S PARK RD BETHEL PARK PA 15102-3805,5/18/20,PA,EXPIRED,"lat, lon",
10,9302,ALLEGHENY,COLLIERS SPORTS,63**7797,Cigarette Vending,2/28/25,40.3954858,-80.12846744,"77 WALKERS MILL RD OAKDALE, PA 15071-2110",12/1/22,PA,ACTIVE,"lat, lon",
11,9723,ERIE,COUNTRY FAIR INC 1,70**8001,Cigarette/OTP Retail,2/28/25,42.1111049,-80.12754352,1939 W 8TH ST ERIE PA 16505-4936,5/26/21,PA,ACTIVE,"lat, lon",
12,9724,ERIE,COUNTRY FAIR INC 12,70**8009,Cigarette/OTP Retail,2/28/25,41.9441149,-79.9858404,430 HIGH ST WATERFORD PA 16441,5/26/21,PA,ACTIVE,"lat, lon",
13,9726,ERIE,COUNTRY FAIR INC 2,70**8002,Cigarette/OTP Retail,2/28/25,42.11971952,-80.05152343,957 E 26TH ST ERIE PA 16504,5/26/21,PA,ACTIVE,"lat, lon",
14,9968,MCKEAN,CROSBY'S #83,70**8006,Cigarette/OTP Retail,2/28/25,41.95744282,-78.66275089,242 W WASHINGTON ST BRADFORD PA 16701,5/26/21,PA,ACTIVE,"lat, lon",
15,9971,MCKEAN,CROSBY'S #86,70**8009,Cigarette/OTP Retail,2/28/25,41.93141207,-78.65270563,573 SOUTH AVE BRADFORD PA 16701-3975,5/26/21,PA,ACTIVE,"lat, lon",
16,9976,ERIE,CROSBYS # 96,70**8010,Cigarette/OTP Retail,2/28/25,41.92166319,-79.63578376,247 E MAIN ST CORRY PA 16407-1908,5/26/21,PA,ACTIVE,"lat, lon",
17,10790,WASHINGTON,DENNYS ROADHOUSE,63**7797,Cigarette Vending,2/28/25,40.19628038,-80.00023641,"3431 ROUTE 136 FINLEYVILLE, PA 15332-3810",12/1/22,PA,ACTIVE,"lat, lon","This place is CLOSED, maybe for the last 3 years at least "
18,12666,ALLEGHENY,DOWNEY HOUSE,63**7797,Cigarette Vending,2/28/25,40.44378116,-80.14539911,"6080 STEUBENVILLE PIKE MC KEES ROCKS, PA 15136-1398",12/1/22,PA,ACTIVE,"lat, lon",
19,12821,ALLEGHENY,DUKES SHALER SUNOCO,70**8010,Cigarette/OTP Retail,2/28/25,40.49581701,-79.97684004,1329 BABCOCK BLVD PITTSBURGH PA 15209-1628,5/26/21,PA,ACTIVE,"lat, lon",
20,12882,ALLEGHENY,DUTCH CLUB,63**7797,Cigarette Vending,2/28/25,40.44359993,-80.04063373,"925 CHARTIERS AVE PITTSBURGH, PA 15220-5620",12/1/22,PA,ACTIVE,"lat, lon",
21,12946,ALLEGHENY,E MCKEESPORT MOOSE,65**7908,Cigarette Vending,2/28/25,40.38287851,-79.80970874,"995 5th Ave, East McKeesport, PA 15035",12/1/22,PA,ACTIVE,"lat, lon, address_full","Could this be the moose lodge? If yes, maybe we keep it. If questioning, drop it. I'll add the addres here anyway"
22,13209,ALLEGHENY,EDDIES,65**7908,Cigarette Vending,2/28/25,40.39445962,-79.78542077,"509 WALL AVENUE WALL, PA 15148",12/1/22,PA,ACTIVE,"lat, lon, address_full",
23,14725,ALLEGHENY,FAN CLUB,65**7908,Cigarette Vending,2/28/25,40.395582,-79.80596369,"1065 314 Airbrake Ave, Wilmerding, PA 15148",12/1/22,PA,ACTIVE,"lat, lon, address_full",Fan club sports bar?
