full_address,lat,lon
"200 SOUTH HIGH STREET, WEST CHESTER, PA, 193823404",39.957789,-75.6028225
"3401 LANCASTER AVENUE, PHILADELPHIA, PA, 191044914",39.957657,-75.1913585
"3440 MARKET ST, PHILADELPHIA, PA, 19104",39.9557137,-75.1925667
"417 STATE AVE, BEAVER, PA, 150091527",40.6844925,-80.328709
"341 US HIGHWAY 46, EUDD LAKE, NJ, 78283205",40.8627225,-74.7491829
"138 LAKESIDE BLVD, LANDING, NJ, 78501119",40.9077012,-74.665429
"2053 N 2ND ST, HARRISBURG, PA, 17102",40.2780807,-76.8980783
"2101 S 10TH ST, PHILADELPHIA, PA, 191483003",39.9233203,-75.1627357
"1034-38 WASHINGTON AV, PHILADELPHIA, PA, 191473841",39.9367578,-75.1611397
"1201 CHESTNUT STREET, PHILADELPHIA, PA, 19107",39.9506895,-75.1603296
"242-244 MARKET ST, PHILADELPHIA, PA, 19106",39.9497613,-75.1454446
"4201-59 WALNUT STREET, PHILADELPHIA, PA, 191043581",39.9549019,-75.2067297
"7910 US ROUTE 30 E, IRWIN, PA, 15642",40.3142913,-79.6751405
"6507 State Route 3, JEANNETTE, PA, 15644",40.3257404,-79.6178672
"9428 US 30, IRWIN, PA, 15642",40.3227286,-79.6990116
"100 W. DEKALB PIKE, KING OF PRUSSIA, PA, 19406",40.0952867,-75.3626697
"4168 RIDGE AVENUE, PHILADELPHIA, PA, 19129",40.0084844,-75.1938604
"2401 FREEPORT RD, NEW KENSINGTON, PA, 15068",40.5875284,-79.7489574
"200 DRY RUN RD, MONONGAHELA, PA, 15063",40.2065525,-79.9401686
"99 Tarentum Bridge, New Kesington, PA, 15068",40.5897604,-79.7512909
"2033 FREEPORT RD., ARNOLD, PA, 15068",40.5831534,-79.7585789
"222 BUTLER STREET, KITTANNING, PA, 16201",40.8072078,-79.5303275
"1900-10 WELSH ROAD, PHILADELPHIA, PA, 191521607",40.0819164,-75.0378947
"503 ROUTE 202 NORTH, RARITAN, NJ, 8869",40.5738272,-74.636468
"259 NASSAU ST, PRINCETON, NJ, 8542",40.3521217,-74.6501987
"1280 BOUNDBROOK ROAD, MIDDLESEX, NJ, 88461433",40.5792698,-74.5026901
"4000 US HIGHWAY 1, MONMOUTH JUNCTION, NJ, 8852",40.4011312,-74.5526446
"2 VERONICA AVE, STE 1, FRANKLIN TOWNSHIP, NJ, 8873",40.4872857,-74.5024455
"99 ROUTE 31, FLEMINGTON, NJ, 8822",40.5178818,-74.8545174
"1101 BROOKLINE BLVD, PITTSBURGH, PA, 152262203",40.3922426,-80.0149771
"285 MOUNT LEBANON BLV, PITTSBURGH, PA, 152341242",40.3687629,-80.0371626
"6771 N 5TH ST, PHILADELPHIA, PA, 191263026",40.0544264,-75.126171
"3359 KENSINGTON AVE, PHILADELPHIA, PA, 191341440",39.9986703,-75.108793
"150 N BROAD ST, PHILADELPHIA, PA, 19102",39.956126,-75.1633542
"2034 N BROAD ST, PHILADELPHIA, PA, 19121",39.984499,-75.1571375
"101 E BROAD STREET, BETHLEHEM, PA, 180186203",40.6227327,-75.3751036
"1201 HAMILTON ST, ALLENTOWN, PA, 18102",40.5997432,-75.4822618
"11 E. SUSQUEHANNA, ALLENTOWN, PA, 181034168",40.590924,-75.4528619
"1801 S. 4TH STREET, ALLENTOWN, PA, 181034903",40.5825402,-75.4569127
"102 N. 7TH STREET, ALLENTOWN, PA, 181011304",40.6037297,-75.4728645
"818 N DUQUESNE BLVD, DUQUESNE, PA, 151101524",40.3826551,-79.8568952
"521 Lincoln HWY, East Pittsburgh, PA, 15112",40.3953429,-79.8389531
"1001 WESTERN AVE, PITTSBURGH, PA, 15233",40.4512057,-80.0191422
"310 CEDAR AVENUE, PITTSBURGH, PA, 15212",40.4511439,-80.0005622
"4779 Liberty Ave, Pittsburgh, PA, 15224",40.4609531,-79.9472746
"423 JAMES ST, TURTLE CREEK, PA, 151451665",40.4088898,-79.8190609
"202 S MAIN ST, NEWARK, DE, 197114561",39.678086,-75.76236
"1901 CENTERVILLE RD, WILMINGTON, DE, 198084719",39.7394161,-75.6234977
"298 S MARYLAND AVE, WILMINGTON, DE, 198043041",39.7263121,-75.5885033
"4865 GOV PRINTZ BV, WILMINGTON, DE, 198093409",39.7552894,-75.4992212
"2100 FOULK RD, WILMINGTON, DE, 198104716",39.8170536,-75.5067672
"904 Swedesford Rd, Berwyn, PA, 19312",40.0636447,-75.46033
"654 N DUPONT HIGHWAY, DOVER, DE, 19901",39.1782114,-75.5272378
"45 W MAIN ST, DENVILLE, NJ, 7834",40.8933906,-74.4810227
"198 RT 46, ROCKAWAY, NJ, 78664021",40.8905275,-74.512319
"1201 MAIN AVENUE, CLIFTON, NJ, 70112249",40.876772,-74.1410727
"356 RIFLE CAMP RD, WEST PATERSON, NJ, 74242726",40.8913755,-74.1878777
"91 BROADWAY, ELMWOOD PARK, NJ, 74073008",40.9196957,-74.1246349
"314 NORTH UNION STREE, WILMINGTON, DE, 19805",39.7488818,-75.5729506
"2603 ATLANTIC AVE, ATLANTIC CITY, NJ, 84016409",39.3562037,-74.4436597
"926 HIGH ST, MILLVILLE, NJ, 83323763",39.4062638,-75.0397074
"502 SMITH ST, PERTH AMBOY, NJ, 8861",40.5135471,-74.2845834
"1189 ROUTE 9 NORTH, OLD BRIDGE, NJ, 88572839",40.4438595,-74.2995746
