scale name,column name,reverse,min,max,transform,sum,mean,attention,motor,self_control,cog_complexity,perseverance,cog_instability,attentional_impulsiveness,motor_impulsiveness,nonplanning_impulsiveness
BIS,bis_1,1,1,4,0,sum,mean,,,sum,,,,,,sum
BIS,bis_2,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_3,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_4,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_5,0,1,4,0,sum,mean,sum,,,,,,sum,,
BIS,bis_6,0,1,4,0,sum,mean,,,,,,sum,sum,,
BIS,bis_7,1,1,4,0,sum,mean,,,sum,,,,,,sum
BIS,bis_8,1,1,4,0,sum,mean,,,sum,,,,,,sum
BIS,bis_9,1,1,4,0,sum,mean,sum,,,,,,sum,,
BIS,bis_10,1,1,4,0,sum,mean,,,,sum,,,,,sum
BIS,bis_11,0,1,4,0,sum,mean,sum,,,,,,sum,,
BIS,bis_12,1,1,4,0,sum,mean,,,sum,,,,,,sum
BIS,bis_13,1,1,4,0,sum,mean,,,sum,,,,,,sum
BIS,bis_14,0,1,4,0,sum,mean,,,sum,,,,,,sum
BIS,bis_15,1,1,4,0,sum,mean,,,,sum,,,,,sum
BIS,bis_16,0,1,4,0,sum,mean,,,,,sum,,,sum,
BIS,bis_17,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_18,0,1,4,0,sum,mean,,,,sum,,,,,sum
BIS,bis_19,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_20,1,1,4,0,sum,mean,sum,,,,,,sum,,
BIS,bis_21,0,1,4,0,sum,mean,,,,,sum,,,sum,
BIS,bis_22,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_23,0,1,4,0,sum,mean,,,,,sum,,,sum,
BIS,bis_24,0,1,4,0,sum,mean,,,,,,sum,sum,,
BIS,bis_25,0,1,4,0,sum,mean,,sum,,,,,,sum,
BIS,bis_26,0,1,4,0,sum,mean,,,,,,sum,sum,,
BIS,bis_27,0,1,4,0,sum,mean,,,,sum,,,,,sum
BIS,bis_28,0,1,4,0,sum,mean,sum,,,,,,sum,,
BIS,bis_29,1,1,4,0,sum,mean,,,,sum,,,,,sum
BIS,bis_30,1,1,4,0,sum,mean,,,,,sum,,,sum,
