"scale name","column name","reverse","min","max","transform","sum","mean","race_6_text_text","white_follow_up_2_text_text","white_follow_up_3_text_text","white_follow_up_4_text_text","white_follow_up_5_text_text","black_follow_up_1_text_text","black_follow_up_3_text_text","black_follow_up_4_text_text","asian_follow_up_14_text_text","pi_follow_up_6_text_text","ethnicity_open_text","gender_8_text_text","se_follow_up_6_text_text","se_6_followup_text","employed_8_text_text","jobtitle_text","occupation_text","industry_text"
"DEMO","race",0,1,7,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","race_6_text",0,NA,NA,0,"sum","mean","I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","ethnicity",0,0,2,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","ses_level",0,1,5,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","income_individual",0,1,11,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","school",0,1,10,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","white_follow_up",0,1,6,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","white_follow_up_2_text",0,NA,NA,0,"sum","mean",NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","white_follow_up_3_text",0,NA,NA,0,"sum","mean",NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","white_follow_up_4_text",0,NA,NA,0,"sum","mean",NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","white_follow_up_5_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","black_follow_up",0,1,5,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","black_follow_up_1_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","black_follow_up_3_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","black_follow_up_4_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","asian_follow_up",0,1,15,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","asian_follow_up_14_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","pi_follow_up",0,1,7,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","pi_follow_up_6_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","ethnicity_open",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA,NA
"DEMO","gender",0,1,8,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","gender_8_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA,NA
"DEMO","trans",0,1,3,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","sexuality",0,1,7,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","se_follow_up",0,1,6,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","se_follow_up_6_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA,NA
"DEMO","don_t_know",0,1,3,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","se_6_followup",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA,NA
"DEMO","ses_ladder1",0,1,10,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","ses_ladder_2",0,1,10,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","employed",0,1,9,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","employed_8_text",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA,NA
"DEMO","income_household",0,1,11,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEMO","jobtitle",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA,NA
"DEMO","occupation",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I",NA
"DEMO","industry",0,NA,NA,0,"sum","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I"
