"scale name","column name","reverse","min","max","transform","sum","mean"
"WEEK","week_01",0,1,6,0,"sum","mean"
"WEEK","week_02",0,1,4,0,"sum","mean"
"WEEK","week_03_1",0,0,100,0,"sum","mean"
"WEEK","days_01",0,0,3,0,"sum","mean"
"WEEK","days_02",0,0,3,0,"sum","mean"
"WEEK","days_03",0,0,3,0,"sum","mean"
"WEEK","days_04",0,0,3,0,"sum","mean"
"WEEK","days_05",0,0,3,0,"sum","mean"
"WEEK","days_06",0,0,3,0,"sum","mean"
"WEEK","days_07",0,0,3,0,"sum","mean"
"WEEK","social_01",0,0,3,0,"sum","mean"
"WEEK","social_02",0,0,3,0,"sum","mean"
"WEEK","social_03",0,0,3,0,"sum","mean"
"WEEK","social_04",0,0,3,0,"sum","mean"
"WEEK","social_05",0,0,3,0,"sum","mean"
